Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Flight Controller","Holybro Pixhawk 6C","Primary flight control unit based on STM32H753, includes integrated IMU (ICM-20689) and barometer (MS5611) for stable flight and navigation.","electrical","mcu",1,200.00,200.00,"https://www.getfpv.com/holybro-pixhawk-6c-flight-controller.html"
"Payload Data Acquisition MCU","Arduino Mega 2560 R3","Microcontroller board based on the ATmega2560, suitable for projects requiring many I/O pins.","electrical","mcu",1,40.00,40.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxwok09LMxrO353eAciRTapAi82psay9gAOyRWdfjjT5VE6tdxUJFo4vyx49fRxW4Bc3zpl8TW4j6QpGVyB8Z11DtI8AiNfCphhxYUH2OXZCdcOx2NRPgQ3d7Zm5O9iRkQCBaXsLjW3FW9RWulZiigrBKD0G98CcQ2IGfrvL2MTHHFoGgvUGjZTpiVPUq6FYQ5EakKIAavac26wu7kbLuUPFilF9G0OctgKF2XjMdzfRzpobGaDfezs8vh9cqLPTiayaeoyZktjRkfg5Lii7aDccNxkRtW6TFjv6L04kYrAu3uEFZMfLfvbXfGllP3LQpiOn7xOa3O3DyHBz1OXrDbn4IkAXe6KfXioW6pQTJ3hyzm4WtGEOZpdfdUANYIupgQucJPgcQLYnVJW5ol4rBFLXWHNKvri90snNX3toSAKczd4VxHsJUtgTGbNF4yIVCpikxkjq713pDfr8HNU0uKtWjfgiYw87x5ee7qydWyM91g3XG04lPXeuaClHO4qsWaVOMvqq4nFbeqqynSn92SRmHYZLy7GVEc91AfvyRgvcZMK71NQGQyEKYSyLC8nWhZr2k2lYVAFwVkZyYdiuyhwyYLZu3lid7vwXY5odnr5EL8BmzcUhMDwVYf9TDv5l1YVhGcPfv16dfQvT5a2JoaM15"
"Centimeter-Level GPS Module","u-blox ZED-F9P","Provides precise positioning data for autonomous navigation.","electrical","sensor",1,250.00,250.00,"https://www.sparkfun.com/products/16481"
"Vertical Magnetometer (Z-axis)","HWT3100-485","","electrical","sensor",1,150.00,150.00,"https://www.amazon.com/s?k=HWT3100-485"
"Horizontal Magnetometer (X-axis)","HWT3100-485","","electrical","sensor",1,150.00,150.00,"https://www.amazon.com/s?k=HWT3100-485"
"Precision Laser Altimeter","LightWare LW20/C","LiDAR for accurate terrain following and altitude hold.","electrical","sensor",1,220.00,220.00,"https://www.lightwarelidar.com/products/lw20c"
"Power Distribution Board with BECs","Holybro PM07/PM02 (or similar with 5V/12V BEC)","","electrical","power",1,40.00,40.00,"https://www.getfpv.com/holybro-pm07-v2-power-management-board.html"
"Main LiPo Battery","4S 5000mAh LiPo Battery","4S 5000mAh LiPo battery for main power supply.","electrical","power",1,80.00,80.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxxCIEBQP5O7HfqRZZyVtdeoI8OHOvtLUhVXPqWAsVUwGsYkRBVVIrvknRr0RZvcXu91pbY9UcSCmw30U6rdsGAI3zXXKOlZBeVpHJ9t1ONQbX03xqjUyCoslcbOnY9P8ZDGCXPmmELS5grE6qjkrhjXEOaTcOyKzicvvGC20ZOsqxTYA2ZtND33pRegRjuiKOrP9UvcelmBD094wlP5riiQpBiqsBI5Fv4RGxRSmOZs4JDVtCFacmVtDJWsF44vqaqdRTq2mb6d9XBVUSUKtPJj1pKM4UR797ViGesuGmJ582TeFKvOAHtxnhJ7EPjscVIBhXfVsR1Mlnp0FrKSb7Rrm4uNIFJ3rqdn5m0eedRbr44X6T09vrMLg3UdiQfPF1KlQVyAjjER7xqwOJ5ivaS9H40mw38uNYNDAhFGhhgIru4ZqgpjD3x5XaGDzK0ukH7ly2CEJGc1WwopAFijsqAiSCWFBEWsAdQdhLRpR7EGVQJCPFBWUhmUAe4L01KRjxFfxQwHkfzu009zd6zEhwzw5iYaFuo2meGPeQqtLdthd0O64T3kNeKFbC0CWePQ9GktH7gGwpj10EI4yCzKJrez8ixIBQ7IBcM5rSGj84bZfFO3siUetfDvIsARktdE1yrgyFne9619DcGQRH4QdMDyJ"
"Motor Front Left","2212 920KV Brushless DC Motor","Brushless motor for propeller rotation.","electrical","actuator",1,15.00,15.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x3WCKGIMjWWmCLcj3QVJX1XYrsxehDzgIEwZX2WNugQ0IQXmXnNKqa0W2Fpdi0y1tjW6KpIRuMRijGlERcbqzhgsfKIciN6X3FUHz39ATMj6VVPxcS4aNdGdkIKNbyDZHcBVKZvWMQTbC0Vx3e6Cwa1AbnxhRdyeAJwCTyWJSaTrgdQYDmtXQSgh3mLVXASNdxDt1Zdg994XXWeIibdHv3GW1otNjgUPCjSut9NApT7HuxbcCgEmCfovzcHnFmDveWIWXLUlzfCGaLOvcKLEb7JYL5fEBFoPHCWP5uDoUUBjBSB7oKLafAgy0jcGnL1aKVZlydKRCmADrlJc70clhbvVbZM9Hn4gvJxNM3Wwiq4agFsGM0Uyy2dGxzaU6mzfIHkDmNeGhbPHxGc2Y7L7XxcvusunUrAN9z7QI8L6VUVnLHkyej2p7Y1HMApUwviSyizAfnFOR8ufDMUQS3PUIOCUqOI2OcCbQie62oU5T50NFjtep3toDlP61hKoqIpJ79EcDv46XykfwsYXEmUogyLWQ5cbb6jjRYhO1adePpncktMtpyH6fWAVdOANukcSUowLelEzPxZuag860BPrZYUwP0BL1AHPS1EUWkh2g7BK3aqESeSGSW60yv154X16HRnWz0DRzTJNStKKyTYUWPzTOJtPink4BYODHSXFJ5KEmywhJFTHv"
"Motor Front Right","2212 920KV Brushless DC Motor","Brushless motor for propeller rotation.","electrical","actuator",1,15.00,15.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x3WCKGIMjWWmCLcj3QVJX1XYrsxehDzgIEwZX2WNugQ0IQXmXnNKqa0W2Fpdi0y1tjW6KpIRuMRijGlERcbqzhgsfKIciN6X3FUHz39ATMj6VVPxcS4aNdGdkIKNbyDZHcBVKZvWMQTbC0Vx3e6Cwa1AbnxhRdyeAJwCTyWJSaTrgdQYDmtXQSgh3mLVXASNdxDt1Zdg994XXWeIibdHv3GW1otNjgUPCjSut9NApT7HuxbcCgEmCfovzcHnFmDveWIWXLUlzfCGaLOvcKLEb7JYL5fEBFoPHCWP5uDoUUBjBSB7oKLafAgy0jcGnL1aKVZlydKRCmADrlJc70clhbvVbZM9Hn4gvJxNM3Wwiq4agFsGM0Uyy2dGxzaU6mzfIHkDmNeGhbPHxGc2Y7L7XxcvusunUrAN9z7QI8L6VUVnLHkyej2p7Y1HMApUwviSyizAfnFOR8ufDMUQS3PUIOCUqOI2OcCbQie62oU5T50NFjtep3toDlP61hKoqIpJ79EcDv46XykfwsYXEmUogyLWQ5cbb6jjRYhO1adePpncktMtpyH6fWAVdOANukcSUowLelEzPxZuag860BPrZYUwP0BL1AHPS1EUWkh2g7BK3aqESeSGSW60yv154X16HRnWz0DRzTJNStKKyTYUWPzTOJtPink4BYODHSXFJ5KEmywhJFTHv"
"Motor Rear Left","2212 920KV Brushless DC Motor","Brushless motor for propeller rotation.","electrical","actuator",1,15.00,15.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x3WCKGIMjWWmCLcj3QVJX1XYrsxehDzgIEwZX2WNugQ0IQXmXnNKqa0W2Fpdi0y1tjW6KpIRuMRijGlERcbqzhgsfKIciN6X3FUHz39ATMj6VVPxcS4aNdGdkIKNbyDZHcBVKZvWMQTbC0Vx3e6Cwa1AbnxhRdyeAJwCTyWJSaTrgdQYDmtXQSgh3mLVXASNdxDt1Zdg994XXWeIibdHv3GW1otNjgUPCjSut9NApT7HuxbcCgEmCfovzcHnFmDveWIWXLUlzfCGaLOvcKLEb7JYL5fEBFoPHCWP5uDoUUBjBSB7oKLafAgy0jcGnL1aKVZlydKRCmADrlJc70clhbvVbZM9Hn4gvJxNM3Wwiq4agFsGM0Uyy2dGxzaU6mzfIHkDmNeGhbPHxGc2Y7L7XxcvusunUrAN9z7QI8L6VUVnLHkyej2p7Y1HMApUwviSyizAfnFOR8ufDMUQS3PUIOCUqOI2OcCbQie62oU5T50NFjtep3toDlP61hKoqIpJ79EcDv46XykfwsYXEmUogyLWQ5cbb6jjRYhO1adePpncktMtpyH6fWAVdOANukcSUowLelEzPxZuag860BPrZYUwP0BL1AHPS1EUWkh2g7BK3aqESeSGSW60yv154X16HRnWz0DRzTJNStKKyTYUWPzTOJtPink4BYODHSXFJ5KEmywhJFTHv"
"Motor Rear Right","2212 920KV Brushless DC Motor","Brushless motor for propeller rotation.","electrical","actuator",1,15.00,15.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x3WCKGIMjWWmCLcj3QVJX1XYrsxehDzgIEwZX2WNugQ0IQXmXnNKqa0W2Fpdi0y1tjW6KpIRuMRijGlERcbqzhgsfKIciN6X3FUHz39ATMj6VVPxcS4aNdGdkIKNbyDZHcBVKZvWMQTbC0Vx3e6Cwa1AbnxhRdyeAJwCTyWJSaTrgdQYDmtXQSgh3mLVXASNdxDt1Zdg994XXWeIibdHv3GW1otNjgUPCjSut9NApT7HuxbcCgEmCfovzcHnFmDveWIWXLUlzfCGaLOvcKLEb7JYL5fEBFoPHCWP5uDoUUBjBSB7oKLafAgy0jcGnL1aKVZlydKRCmADrlJc70clhbvVbZM9Hn4gvJxNM3Wwiq4agFsGM0Uyy2dGxzaU6mzfIHkDmNeGhbPHxGc2Y7L7XxcvusunUrAN9z7QI8L6VUVnLHkyej2p7Y1HMApUwviSyizAfnFOR8ufDMUQS3PUIOCUqOI2OcCbQie62oU5T50NFjtep3toDlP61hKoqIpJ79EcDv46XykfwsYXEmUogyLWQ5cbb6jjRYhO1adePpncktMtpyH6fWAVdOANukcSUowLelEzPxZuag860BPrZYUwP0BL1AHPS1EUWkh2g7BK3aqESeSGSW60yv154X16HRnWz0DRzTJNStKKyTYUWPzTOJtPink4BYODHSXFJ5KEmywhJFTHv"
