id,name,magnetic_moment_Am2,B_max_uT,B_lsb,mag_detect,thermal_contrast_mK,thermal_detect,peak_contrast_mK
PMN-2,PMN-2 Anti-Personnel Mine,0.5,0.02275830678197542,1.7506389832288787,False,30.0,True,30.0
TM-62M,TM-62M Anti-Tank Mine,15.0,0.6827492034592627,52.51916949686637,True,80.0,True,80.0
M15,M15 Anti-Tank Mine,20.0,0.9103322712790167,70.02555932915513,True,80.0,True,80.0
M16_AP,M16 Bouncing Betty,5.0,0.22758306781975418,17.506389832288782,False,80.0,True,80.0
F1_Grenade,F1 Fragmentation Grenade,2.0,0.09103322712790168,7.002555932915515,False,80.0,True,80.0
60mm_mortar,60mm Mortar Round,2.5,0.11379153390987709,8.753194916144391,False,80.0,True,80.0
82mm_mortar,82mm Mortar Round,5.0,0.22758306781975418,17.506389832288782,False,80.0,True,80.0
VS50,VS-50 Anti-Personnel Mine,0.1,0.004551661356395085,0.35012779664577576,False,30.0,True,30.0
Mk82_bomb,Mk82 500lb Bomb,120.0,5.461993627674102,420.15335597493095,True,80.0,True,80.0
PMN4,PMN-4 Anti-Personnel Mine,0.2,0.00910332271279017,0.7002555932915515,False,30.0,True,30.0
