Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"GPR Core NanoVNA","NanoVNA-V2 Plus4","Primary measurement instrument for characterizing the sensor's S-parameters in response to magnetic fields.","electrical","module",1,180.00,180.00,"https://www.amazon.com/s?k=nanovna+v2+plus4"
"Payload Controller","Raspberry Pi 4 Model B (4GB)","SBC 1.5GHZ 4 CORE 4GB PI 4 MOD B","electrical","mcu",1,55.00,55.00,"https://www.adafruit.com/product/4296"
"Vivaldi Antenna (Transmit)","Custom FR4 Vivaldi Antenna","","electrical","module",1,10.00,10.00,"https://www.oshpark.com/pricing"
"Vivaldi Antenna (Receive)","Custom FR4 Vivaldi Antenna","","electrical","module",1,10.00,10.00,"https://www.oshpark.com/pricing"
"Payload Main Power Regulator","Buck Converter 12V/24V to 5V 3A","Provides regulated 5V power for the microcontroller and low-power sensors from the tractor's 12V/24V supply.","electrical","power",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxHN1nnIbKiKwjnwn3vBw0IDl8DnNH4o5T5cFIxsE4WzM3dFc6TRvHW2XseLDR1dbdVkRY8jwOsg2AB25iA7PY1bJVkBxWutb79SoooOofvzMUM9YS20kDY2gMYPBdncnmRkzkpPwywIzmF6Cc6oQwIpmUhJaPSbOCLKI7bR8W1KSisQslfQSyA6oY2VRc2rEnYRDrnbPVPfrrjPRX7MiLqATpdP20VotuMgxi2V8R37sAwoqQky51vzkqTKQSdzKzuLF2V7pfXG6wg5gHQnuuyATRqEqXI22AdFXegXb1La5zc76LzAFaAi60iXc5LtZUMtZueTMDMGpy9yCnyS7bEIocujXZjJJwYYrddcfnoulDJl0l1kU8Q1UOh8514GmVSrwI5IpX5kJwpQC2Xur41F5kUXjIwYB9uD1UzL9hkEQupXxQ10SIp9bgeegnApAuU6v4eajs6JpPOTcXBqTipgMYuLVHh5JnIF4X1cUi4DGpgEC7pEusaVj1Te1y04wtB8KDgOGrzrMW2aKGNFRbH20PDkDe6uvfpz2kASPVIpEykNdJXxSShdjZ8uwjAvtXsPZxi2kU7FLMF0FXtwBeMNWLmtwbIrOVeV5xhKH43yubwsOQ0COw7cQSBbaHnVIDwMJZR4E1mqhmVt0pl00kdrl"
"Raspberry Pi LDO Regulator","LP2985-50DBVR (5V LDO)","","electrical","power",1,1.50,1.50,"https://www.digikey.com/en/products/detail/texas-instruments/LP2985-50DBVR/251322"
"NanoVNA LDO Regulator","LP2985-50DBVR (5V LDO)","","electrical","power",1,1.50,1.50,"https://www.digikey.com/en/products/detail/texas-instruments/LP2985-50DBVR/251322"
"SMA Coaxial Cable (Port 1)","SMA Male to Male RG316 Coaxial Cable (10cm)","","electrical","module",1,3.00,3.00,"https://www.amazon.com/dp/B0CNYW6FGF?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"SMA Coaxial Cable (Port 2)","SMA Male to Male RG316 Coaxial Cable (10cm)","","electrical","module",1,3.00,3.00,"https://www.amazon.com/dp/B0CNYW6FGF?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Main Chassis Frame","Main Chassis Frame","Main structural frame for mounting all components and providing rigidity. Designed for low weight.","mechanical","structural",1,3.50,3.50,"https://www.amazon.com/dp/B0CRV5XP4M?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Left Antenna Mount","","3D-printed bracket for mounting the transmit Vivaldi antenna at a 30-degree outward angle.","mechanical","3d_printed",1,1.20,1.20,"https://www.amazon.com/s?k=PETG+filament"
"Right Antenna Mount","","3D-printed bracket for mounting the receive Vivaldi antenna at a 30-degree outward angle.","mechanical","3d_printed",1,1.20,1.20,"https://www.amazon.com/s?k=PETG+filament"
"Electronics Enclosure Base","","Base housing for the NanoVNA and Raspberry Pi, providing protection and integrated mounting points.","mechanical","enclosure",1,2.50,2.50,"https://www.amazon.com/s?k=PETG+filament"
"Electronics Enclosure Lid","Crown Rear Enclosure Lid","Cover for the electronics enclosure, designed to secure with small screws.","mechanical","enclosure",1,0.80,0.80,"https://www.amazon.com/s?k=PETG+filament"
"NanoVNA Mount (Integrated)","","Integrated standoffs within the electronics enclosure base to secure the NanoVNA.","mechanical","3d_printed",1,0.50,0.50,"https://www.amazon.com/s?k=PETG+filament"
"Raspberry Pi Mount (Integrated)","","Integrated standoffs within the electronics enclosure base to secure the Raspberry Pi 4.","mechanical","3d_printed",1,0.40,0.40,"https://www.amazon.com/s?k=PETG+filament"
"Power Module Mount","","Small 3D-printed bracket to secure the DC-DC step-down and LDO modules within the enclosure.","mechanical","3d_printed",1,0.30,0.30,"https://www.amazon.com/s?k=PETG+filament"
"Drone Quick-Release Adapter","","Adapter plate for connecting the payload to a generic drone quick-release mounting system.","mechanical","3d_printed",1,1.50,1.50,"https://www.amazon.com/s?k=PETG+filament"
"M2.5x6mm Screws (NanoVNA/Pi)","M2.5x6mm Phillips Head Screws","Screws for mounting the NanoVNA and Raspberry Pi to their respective standoffs.","mechanical","misc",8,0.05,0.40,"https://www.amazon.com/dp/B01LK6XXCE?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M3x10mm Screws (Enclosure/Frame)","M3x10mm Phillips Head Screws","Screws for securing the enclosure lid and various structural components.","mechanical","misc",6,0.06,0.36,"https://www.amazon.com/dp/B0GC3CD86G?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M3 Nuts","M3 Hex Nuts","Hex nuts for M3 screws where through-holes are used for assembly.","mechanical","misc",6,0.03,0.18,"https://www.amazon.com/dp/B0F9FC4563?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M3 Heat Set Inserts","M3 Brass Heat Set Inserts","Brass threaded inserts for robust screw connections into 3D-printed parts.","mechanical","misc",12,0.10,1.20,"https://www.adafruit.com/product/4255"
"SMA Coaxial Cable (Port 1) Mount","","Adapter plate for the SMA Coaxial Cable (Port 1) that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"SMA Coaxial Cable (Port 2) Mount","","Adapter plate for the SMA Coaxial Cable (Port 2) that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
