Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Payload Controller","Raspberry Pi 4 Model B (4GB)","SBC 1.5GHZ 4 CORE 4GB PI 4 MOD B","electrical","mcu",1,55.00,55.00,"https://www.adafruit.com/product/4296"
"GPS/RTK Module","u-blox ZED-F9P","Provides precise positioning data for autonomous navigation.","electrical","module",1,250.00,250.00,"https://www.sparkfun.com/products/16481"
"Fluxgate Magnetometer","PicoMAG PM3 Magnetometer","","electrical","sensor",1,120.00,120.00,"https://pico-mag.com/products/pm3"
"FLIR Lepton Thermal Camera","FLIR Lepton 3.5 Radiometric Module","Thermal camera for night operations.","electrical","sensor",1,350.00,350.00,"https://www.flir.com/products/lepton/"
"FLIR Lepton Breakout Board","Pure Thermal 2 Mini Breakout Board","","electrical","module",1,75.00,75.00,"https://groupgets.com/manufacturers/getlab/products/pure-thermal-2-mini"
"Laser Line Module","650nm 5mW Red Line Laser Module","Low-power, eye-safe red line laser module for illuminating the toilet bowl.","electrical","actuator",1,5.00,5.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0Jxvvhnj6JUwl6sUKviNDOc1WDftFlf0EUWxrRiac5kw5LkPP9D42CyjsXR32gudhhIhT6f8Wtx2UZP4raPlY8z8VgtwTmlz0B4cGAJCC2ZTER8WY6VdEQrnVHVEo9nhhWhTE8FPiDYUGPfaWw3aqa3NJPG5B8YgU4z5xOZNFqd8p8177VlnNXAIgpxAlnVkTMRYeV07mwhRmWZS85Kw7VjpSWiJJscWru0BHrZtAQTaKQaxRU8K2lV6M03uaGKzvl4XsoF45kQ73J0k5LL23AcO1C9jYuMKkAZQLFtOuACpCh992bY1LJklYg56hMLt3ZvkEFWH5nRSpqZ54hadwqRllcGOLlxzc3pZ4QN95U4PDXJa5BwXvuU1Ql2gQfPwmjvUhqn9v3hYjQjrBNUcYHyI9kPMDRYDzkBPuwpRmYB33SCeSc2Vl0QDcp6IA8UYjQk6Ihuye9hxjrkdV6XYKsVxGFfpgGuGpE0TOivtnvl0pP9qSXzxH7xAy4ZgQrbqkSOTpmKnu6YFmb25qPKhNZdeI9iK4MdOMqlYfDQN4FFiqXtLfDcw66zOujH0POQbfZ8OR2n5CnMFhjTd7hc3YWzP4nv62XzHGMNnOw5HBd2D0WEAcTndNGPPMFcipZ4oQsZSY1CLqPw50xboqiU1VRsbA3"
"Global Shutter Camera","Arducam IMX296 1.6MP Global Shutter Camera Module","","electrical","sensor",1,80.00,80.00,"https://www.arducam.com/product/arducam-1-6mp-imx296-global-shutter-color-camera-module-for-raspberry-pi/"
"Mini Acoustic Speaker","8 Ohm 0.5W Mini Speaker","Small speaker for audible start/stop signals and voice feedback.","electrical","actuator",1,2.00,2.00,"https://www.adafruit.com/product/1892"
"Audio Amplifier for Speaker","PAM8403 Mini 5V Audio Amplifier","Amplifies audio signal from ESP32 for the speaker.","electrical","module",1,3.00,3.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxQJC6zOOIfRLmo0Si8Z6DbOnzRJ5tAJH58zrRV8Jz7RKAm6onXOFrQM7DMa3ZV02AYKSdEADUGNayYHX5kMCr7peUN7VeZpfIyX1ui090bxSCoBIHZneEerElkmrq3XW6nN3bVTucqTSc1hU5TrLZxtyfInyPxIjBW2fblLPgBQ9VrOK4decJQotQ8SMkgl2xSs6dcpCUDntEz0hzZw3T6IYdBqhkvOgptqhfebIGSqnlXzldF8pijCOwfZGMAvpVEXJZx0NlnyXyUQZlRL49N1I8vVeQyt7xCu8XlzyrMONPNxGyGmLJk1KgtD7P1025GGG0KCvUEWy2pda7wKHHCB9CYwrfC7Ra4yqhoswpq1mmyRZLerZtBjSfkZDvvMFx1Qip1Y4bhJa3W35pSapSt7XVFBi5f2xCCVyOb0Q0YWL7sMbAsAC3HFTEp8HGNEE3JApWmBhgwF8IcKOv1ZjlkXDEaMMZoIuhpeCbpdTTEUA15606qKZWhiYw8gvjM2QWnVUnJZIoUPnyIW7iNzh2ji1vESfgM9miFIi1T7ZlZfKORIUXFarS7pjgc9dVYUv3YVCo5rPowBdejEXfUv6MF6rhf3XwIGf56I9WlGNIbh8nVfneetmnDdQzW9unkStq1c5gMlTnWLzjn4ucnrvaInv"
"SFCW GPR NanoVNA","NanoVNA-V2 Plus4","Primary measurement instrument for characterizing the sensor's S-parameters in response to magnetic fields.","electrical","module",1,150.00,150.00,"https://www.tindie.com/products/hcxqs/nanovna-v2-plus4/"
